timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:20:05.146, 0, 22292 MiB, 62 %, 1935 MHz, 1935 MHz, 288.07 W, 69, P2, 0x0000000000000004
2026/08/26 22:20:06.147, 0, 22292 MiB, 74 %, 1935 MHz, 1935 MHz, 319.43 W, 69, P2, 0x0000000000000004
2026/08/26 22:20:07.147, 0, 22292 MiB, 70 %, 1935 MHz, 1935 MHz, 288.00 W, 69, P2, 0x0000000000000000
2026/08/26 22:20:08.147, 0, 22292 MiB, 79 %, 1935 MHz, 1935 MHz, 319.54 W, 70, P2, 0x0000000000000004
2026/08/26 22:20:09.147, 0, 22292 MiB, 79 %, 1935 MHz, 1935 MHz, 305.97 W, 70, P2, 0x0000000000000000
2026/08/26 22:20:10.147, 0, 22292 MiB, 80 %, 1935 MHz, 1935 MHz, 293.50 W, 70, P2, 0x0000000000000004
2026/08/26 22:20:11.147, 0, 22292 MiB, 81 %, 1935 MHz, 1935 MHz, 321.84 W, 70, P2, 0x0000000000000004
2026/08/26 22:20:12.148, 0, 22292 MiB, 80 %, 1935 MHz, 1935 MHz, 292.67 W, 68, P2, 0x0000000000000000
2026/08/26 22:20:13.148, 0, 22292 MiB, 74 %, 1935 MHz, 1935 MHz, 322.80 W, 71, P2, 0x0000000000000004
2026/08/26 22:20:14.148, 0, 22292 MiB, 77 %, 1935 MHz, 1935 MHz, 322.35 W, 71, P2, 0x0000000000000000
2026/08/26 22:20:15.148, 0, 85 MiB, 98 %, 1920 MHz, 1920 MHz, 280.20 W, 67, P2, 0x0000000000000000
2026/08/26 22:20:16.315, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 176.02 W, 64, P2, 0x0000000000000000
2026/08/26 22:20:17.316, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 163.35 W, 63, P2, 0x0000000000000000
2026/08/26 22:20:18.316, 0, 346 MiB, 8 %, 1695 MHz, 1695 MHz, 142.23 W, 61, P2, 0x0000000000000000
2026/08/26 22:20:19.316, 0, 19044 MiB, 0 %, 1935 MHz, 1935 MHz, 133.23 W, 61, P2, 0x0000000000000000
2026/08/26 22:20:20.317, 0, 19044 MiB, 100 %, 1935 MHz, 1935 MHz, 159.13 W, 62, P2, 0x0000000000000000
2026/08/26 22:20:21.317, 0, 19044 MiB, 99 %, 1935 MHz, 1935 MHz, 158.55 W, 62, P2, 0x0000000000000000
2026/08/26 22:20:22.317, 0, 19044 MiB, 99 %, 1935 MHz, 1935 MHz, 158.09 W, 61, P2, 0x0000000000000000
2026/08/26 22:20:23.318, 0, 19044 MiB, 99 %, 1935 MHz, 1935 MHz, 157.96 W, 61, P2, 0x0000000000000000
2026/08/26 22:20:24.318, 0, 19044 MiB, 100 %, 1935 MHz, 1935 MHz, 157.69 W, 61, P2, 0x0000000000000000
2026/08/26 22:20:25.318, 0, 19044 MiB, 100 %, 1950 MHz, 1950 MHz, 160.43 W, 61, P2, 0x0000000000000000
2026/08/26 22:20:26.318, 0, 22218 MiB, 0 %, 1950 MHz, 1950 MHz, 163.46 W, 61, P2, 0x0000000000000000
2026/08/26 22:20:27.318, 0, 22270 MiB, 44 %, 1935 MHz, 1935 MHz, 231.85 W, 66, P2, 0x0000000000000000
2026/08/26 22:20:28.318, 0, 22270 MiB, 79 %, 1935 MHz, 1935 MHz, 318.19 W, 67, P2, 0x0000000000000004
2026/08/26 22:20:29.319, 0, 22270 MiB, 78 %, 1935 MHz, 1935 MHz, 288.71 W, 66, P2, 0x0000000000000000
2026/08/26 22:20:30.319, 0, 22270 MiB, 79 %, 1935 MHz, 1935 MHz, 318.36 W, 68, P2, 0x0000000000000004
2026/08/26 22:20:31.319, 0, 22270 MiB, 80 %, 1935 MHz, 1935 MHz, 321.19 W, 68, P2, 0x0000000000000004
2026/08/26 22:20:32.319, 0, 22270 MiB, 73 %, 1935 MHz, 1935 MHz, 291.59 W, 68, P2, 0x0000000000000004
