timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:56:55.953, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 225.64 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:56.953, 0, 20780 MiB, 81 %, 1950 MHz, 1950 MHz, 226.98 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:57.953, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 227.63 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:58.953, 0, 402 MiB, 83 %, 1950 MHz, 1950 MHz, 230.88 W, 64, P2, 0x0000000000000000
2026/08/26 22:56:59.953, 0, 346 MiB, 0 %, 1950 MHz, 1950 MHz, 169.34 W, 61, P2, 0x0000000000000000
2026/08/26 22:57:00.954, 0, 346 MiB, 0 %, 1950 MHz, 1950 MHz, 158.91 W, 60, P2, 0x0000000000000000
2026/08/26 22:57:01.954, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 156.88 W, 60, P2, 0x0000000000000000
2026/08/26 22:57:02.954, 0, 20144 MiB, 100 %, 1695 MHz, 1695 MHz, 131.89 W, 58, P2, 0x0000000000000000
2026/08/26 22:57:03.954, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 153.76 W, 60, P2, 0x0000000000000000
2026/08/26 22:57:04.954, 0, 20144 MiB, 99 %, 1950 MHz, 1950 MHz, 156.46 W, 59, P2, 0x0000000000000000
2026/08/26 22:57:05.955, 0, 20144 MiB, 99 %, 1950 MHz, 1950 MHz, 155.30 W, 59, P2, 0x0000000000000000
